
New Run at  11/14/2014 22:09:30
, Time, UCBLearnAccesses; UCBClicks; randomLearnAccesses; randomClicks; greedyLearnAccesses; greedyClicks, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241506500,429648.0;23860.0;446446.0;16041.0;449319.0;21936.0,3017.0 71.0 109601 0.0001 0.0170 0.0487 0.0535 0.0097;3139.0 193.0 109603 -0.0115 0.0135 0.0424 0.1540 0.0002;4787.0 125.0 109476 -0.0091 0.0259 0.0576 0.0518 0.0083;33854.0 3428.0 109605 -0.0279 0.0940 0.0733 0.1727 0.0284;1625.0 30.0 109608 -0.0050 0.0339 0.0440 -0.0038 0.0049;1851.0 29.0 109610 0.0201 0.0282 -0.0059 0.0435 0.0060;1567.0 28.0 109611 0.0012 -0.0003 0.0322 0.0733 0.0030;23797.0 2082.0 109612 0.0197 0.0882 0.0949 0.1498 -0.0232;4756.0 117.0 109517 0.0256 0.0364 0.0382 0.0427 -0.0000;7701.0 424.0 109614 0.0263 0.0595 0.0619 0.1269 0.0186;1617.0 20.0 109613 0.0027 0.0319 0.0247 0.0199 0.0044;9923.0 603.0 109617 0.0328 0.0711 0.0510 0.1365 0.0224;1113.0 10.0 109618 -0.0023 0.0235 0.0172 0.0491 -0.0007;1355.0 15.0 109619 -0.0151 0.0102 0.0349 0.0384 0.0060;10374.0 597.0 109594 -0.0182 0.0491 0.0543 0.1164 0.0108;5304.0 294.0 109615 0.0045 0.0850 0.0434 0.1307 0.0146;16442.0 1223.0 109596 0.0069 0.0954 0.0202 0.1322 0.0036;7709.0 372.0 109598 0.0267 0.0629 0.0011 0.1091 -0.0009;9388.0 641.0 109599 -0.0542 0.0559 0.0769 0.1099 0.0026,109601.0 1076;109603.0 1076;109476.0 1076;109605.0 1076;109608.0 1076;109610.0 1076;109611.0 1076;109612.0 1076;109613.0 1076;109614.0 1076;109517.0 1076;109617.0 1076;109618.0 1076;109619.0 1076;109594.0 1076;109615.0 1076;109596.0 1076;109598.0 1076;109599.0 1076,109601 58;109603 53;109476 54;109605 49;109608 52;109610 59;109611 64;109612 72;109517 54;109614 71;109613 57;109617 67;109618 52;109619 50;109594 57;109615 45;109596 65;109598 51;109599 46
data,1241507400,430708.0;23902.0;447423.0;16068.0;450434.0;21975.0,3019.0 71.0 109601 0.0001 0.0167 0.0486 0.0536 0.0097;3186.0 194.0 109603 -0.0104 0.0139 0.0424 0.1506 0.0002;4787.0 125.0 109476 -0.0091 0.0259 0.0576 0.0518 0.0083;34098.0 3441.0 109605 -0.0278 0.0936 0.0734 0.1725 0.0281;1649.0 30.0 109608 -0.0050 0.0334 0.0440 -0.0037 0.0047;1874.0 29.0 109610 0.0200 0.0282 -0.0059 0.0436 0.0058;1592.0 28.0 109611 0.0012 -0.0003 0.0322 0.0733 0.0028;24020.0 2100.0 109612 0.0193 0.0880 0.0950 0.1498 -0.0239;4756.0 117.0 109517 0.0256 0.0364 0.0382 0.0427 -0.0000;7759.0 424.0 109614 0.0260 0.0594 0.0620 0.1268 0.0180;5339.0 294.0 109615 0.0045 0.0848 0.0434 0.1306 0.0142;1656.0 21.0 109613 0.0027 0.0313 0.0247 0.0199 0.0058;10196.0 609.0 109617 0.0311 0.0714 0.0511 0.1363 0.0223;1135.0 10.0 109618 -0.0022 0.0233 0.0171 0.0492 -0.0006;1382.0 15.0 109619 -0.0150 0.0100 0.0347 0.0384 0.0058;10374.0 597.0 109594 -0.0182 0.0491 0.0543 0.1164 0.0108;16457.0 1226.0 109596 0.0066 0.0964 0.0204 0.1321 0.0036;7711.0 372.0 109598 0.0267 0.0627 0.0011 0.1091 -0.0009;9389.0 641.0 109599 -0.0542 0.0556 0.0769 0.1099 0.0026,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1054;109603 1040;109476 994;109605 1082;109608 1030;109610 1080;109611 1038;109612 1165;109517 1112;109614 1101;109615 984;109613 992;109617 1067;109618 1020;109619 1069;109594 1064;109596 1039;109598 1091;109599 978
data,1241508000,431781.0;23954.0;448473.0;16096.0;451472.0;22023.0,3019.0 71.0 109601 0.0001 0.0167 0.0486 0.0536 0.0097;3209.0 194.0 109603 -0.0101 0.0141 0.0425 0.1496 0.0002;4787.0 125.0 109476 -0.0091 0.0259 0.0576 0.0518 0.0083;34433.0 3464.0 109605 -0.0280 0.0935 0.0733 0.1729 0.0277;1668.0 30.0 109608 -0.0049 0.0332 0.0440 -0.0036 0.0046;1899.0 29.0 109610 0.0198 0.0281 -0.0058 0.0439 0.0056;1609.0 28.0 109611 0.0011 -0.0003 0.0322 0.0733 0.0028;24238.0 2121.0 109612 0.0192 0.0880 0.0956 0.1495 -0.0247;1699.0 21.0 109613 0.0027 0.0313 0.0247 0.0200 0.0054;7885.0 428.0 109614 0.0256 0.0594 0.0620 0.1263 0.0194;5367.0 294.0 109615 0.0046 0.0847 0.0434 0.1306 0.0138;10371.0 611.0 109617 0.0296 0.0716 0.0513 0.1359 0.0219;1151.0 10.0 109618 -0.0022 0.0233 0.0171 0.0492 -0.0006;1402.0 15.0 109619 -0.0149 0.0100 0.0347 0.0384 0.0056;10374.0 597.0 109594 -0.0182 0.0491 0.0543 0.1164 0.0108;16484.0 1228.0 109596 0.0066 0.0962 0.0204 0.1321 0.0036;4756.0 117.0 109517 0.0256 0.0364 0.0382 0.0427 -0.0000;7712.0 372.0 109598 0.0268 0.0625 0.0011 0.1091 -0.0009;9389.0 641.0 109599 -0.0542 0.0556 0.0769 0.1099 0.0026,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1043;109603 991;109476 1066;109605 1037;109608 1013;109610 1032;109611 1000;109612 1048;109613 1104;109614 1085;109615 1044;109617 1053;109618 1048;109619 1078;109594 1096;109596 1134;109517 1039;109598 1049;109599 1040
data,1241508900,432850.0;24001.0;449598.0;16129.0;452550.0;22061.0,3019.0 71.0 109601 0.0001 0.0167 0.0486 0.0536 0.0097;3224.0 194.0 109603 -0.0099 0.0141 0.0425 0.1493 0.0002;4787.0 125.0 109476 -0.0091 0.0259 0.0576 0.0518 0.0083;34678.0 3478.0 109605 -0.0280 0.0931 0.0735 0.1726 0.0273;1683.0 30.0 109608 -0.0049 0.0332 0.0440 -0.0036 0.0045;4756.0 117.0 109517 0.0256 0.0364 0.0382 0.0427 -0.0000;1625.0 28.0 109611 0.0011 -0.0003 0.0322 0.0733 0.0027;24428.0 2135.0 109612 0.0193 0.0879 0.0955 0.1493 -0.0244;1714.0 21.0 109613 0.0027 0.0313 0.0247 0.0200 0.0053;8179.0 436.0 109614 0.0256 0.0589 0.0619 0.1272 0.0198;5424.0 295.0 109615 0.0046 0.0846 0.0434 0.1306 0.0139;10502.0 616.0 109617 0.0298 0.0711 0.0514 0.1356 0.0214;1167.0 10.0 109618 -0.0023 0.0233 0.0171 0.0492 -0.0006;1418.0 15.0 109619 -0.0148 0.0100 0.0347 0.0384 0.0055;10374.0 597.0 109594 -0.0182 0.0491 0.0543 0.1164 0.0108;16526.0 1233.0 109596 0.0064 0.0969 0.0206 0.1320 0.0035;1915.0 29.0 109610 0.0197 0.0281 -0.0058 0.0440 0.0055;7713.0 372.0 109598 0.0268 0.0624 0.0011 0.1091 -0.0009;9389.0 641.0 109599 -0.0542 0.0556 0.0769 0.1099 0.0026,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1009;109603 1108;109476 1057;109605 1074;109608 1012;109517 1020;109611 1051;109612 1036;109613 1068;109614 1029;109615 1037;109617 1058;109618 1048;109619 1031;109594 1107;109596 1035;109610 1070;109598 1036;109599 1114
data,1241509500,433966.0;24036.0;450704.0;16158.0;453608.0;22095.0,3020.0 71.0 109601 0.0001 0.0165 0.0486 0.0536 0.0097;3255.0 194.0 109603 -0.0098 0.0142 0.0425 0.1491 0.0001;4787.0 125.0 109476 -0.0091 0.0259 0.0576 0.0518 0.0083;34980.0 3493.0 109605 -0.0279 0.0937 0.0736 0.1724 0.0265;1718.0 30.0 109608 -0.0049 0.0332 0.0440 -0.0036 0.0043;1954.0 29.0 109610 0.0196 0.0281 -0.0057 0.0441 0.0052;1660.0 28.0 109611 0.0011 -0.0003 0.0322 0.0733 0.0025;24660.0 2153.0 109612 0.0196 0.0879 0.0954 0.1490 -0.0243;4756.0 117.0 109517 0.0256 0.0364 0.0382 0.0427 -0.0000;8271.0 436.0 109614 0.0253 0.0589 0.0620 0.1267 0.0190;1754.0 21.0 109613 0.0027 0.0308 0.0246 0.0201 0.0050;10650.0 618.0 109617 0.0293 0.0710 0.0514 0.1354 0.0208;1202.0 10.0 109618 -0.0023 0.0230 0.0171 0.0492 -0.0006;1458.0 15.0 109619 -0.0147 0.0099 0.0345 0.0384 0.0052;10374.0 597.0 109594 -0.0182 0.0491 0.0543 0.1164 0.0108;5475.0 295.0 109615 0.0047 0.0844 0.0434 0.1304 0.0133;16559.0 1233.0 109596 0.0069 0.0952 0.0202 0.1323 0.0035;7713.0 372.0 109598 0.0268 0.0624 0.0011 0.1091 -0.0009;9391.0 641.0 109599 -0.0541 0.0551 0.0769 0.1099 0.0026,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1047;109603 1059;109476 1086;109605 1096;109608 1093;109610 1063;109611 1066;109612 1089;109517 1053;109614 1020;109613 1052;109617 1083;109618 1032;109619 1057;109594 1013;109615 1009;109596 1032;109598 1031;109599 1019
data,1241510400,435027.0;24064.0;451798.0;16177.0;454709.0;22126.0,3021.0 71.0 109601 0.0001 0.0163 0.0486 0.0536 0.0097;3284.0 194.0 109603 -0.0098 0.0139 0.0425 0.1491 0.0001;4787.0 125.0 109476 -0.0091 0.0259 0.0576 0.0518 0.0083;35240.0 3508.0 109605 -0.0277 0.0934 0.0735 0.1724 0.0256;1752.0 30.0 109608 -0.0049 0.0329 0.0440 -0.0036 0.0041;1994.0 29.0 109610 0.0195 0.0277 -0.0056 0.0436 0.0050;1691.0 28.0 109611 0.0011 -0.0003 0.0322 0.0733 0.0024;24854.0 2161.0 109612 0.0199 0.0871 0.0948 0.1486 -0.0250;1786.0 21.0 109613 0.0027 0.0308 0.0246 0.0201 0.0048;8356.0 436.0 109614 0.0249 0.0591 0.0621 0.1264 0.0183;4756.0 117.0 109517 0.0256 0.0364 0.0382 0.0427 -0.0000;10833.0 621.0 109617 0.0288 0.0709 0.0515 0.1354 0.0203;1231.0 10.0 109618 -0.0023 0.0228 0.0170 0.0492 -0.0005;1533.0 16.0 109619 -0.0147 0.0098 0.0345 0.0383 0.0060;10374.0 597.0 109594 -0.0182 0.0491 0.0543 0.1164 0.0108;5526.0 295.0 109615 0.0048 0.0839 0.0434 0.1304 0.0128;16573.0 1234.0 109596 0.0070 0.0949 0.0202 0.1323 0.0035;7715.0 372.0 109598 0.0268 0.0621 0.0010 0.1091 -0.0009;9392.0 641.0 109599 -0.0541 0.0549 0.0769 0.1099 0.0026,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1055;109603 1092;109476 1034;109605 1141;109608 1037;109610 1059;109611 1067;109612 984;109613 1058;109614 1060;109517 1088;109617 1026;109618 1045;109619 1060;109594 1074;109615 1012;109596 1011;109598 1037;109599 1060
data,1241511000,436064.0;24105.0;452949.0;16193.0;455793.0;22160.0,3021.0 71.0 109601 0.0001 0.0163 0.0486 0.0536 0.0097;3308.0 194.0 109603 -0.0097 0.0137 0.0425 0.1489 0.0001;4787.0 125.0 109476 -0.0091 0.0259 0.0576 0.0518 0.0083;35606.0 3525.0 109605 -0.0275 0.0929 0.0735 0.1723 0.0255;1778.0 30.0 109608 -0.0049 0.0326 0.0440 -0.0036 0.0039;2019.0 29.0 109610 0.0195 0.0277 -0.0056 0.0436 0.0048;1718.0 28.0 109611 0.0010 -0.0002 0.0322 0.0734 0.0023;25053.0 2181.0 109612 0.0200 0.0868 0.0952 0.1487 -0.0262;1810.0 21.0 109613 0.0027 0.0308 0.0246 0.0202 0.0046;8436.0 437.0 109614 0.0253 0.0586 0.0620 0.1261 0.0177;5566.0 295.0 109615 0.0049 0.0838 0.0434 0.1301 0.0124;10942.0 621.0 109617 0.0281 0.0709 0.0517 0.1353 0.0196;1255.0 10.0 109618 -0.0022 0.0229 0.0170 0.0484 -0.0005;1606.0 17.0 109619 -0.0146 0.0097 0.0344 0.0383 0.0067;10374.0 597.0 109594 -0.0182 0.0491 0.0543 0.1164 0.0108;16591.0 1236.0 109596 0.0069 0.0951 0.0202 0.1323 0.0035;4756.0 117.0 109517 0.0256 0.0364 0.0382 0.0427 -0.0000;7717.0 372.0 109598 0.0268 0.0619 0.0010 0.1092 -0.0009;9392.0 641.0 109599 -0.0541 0.0549 0.0769 0.1099 0.0026,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1050;109603 1041;109476 1054;109605 1041;109608 1070;109610 1046;109611 1008;109612 1069;109613 1060;109614 1123;109615 1003;109617 1062;109618 1077;109619 982;109594 1094;109596 1057;109517 1064;109598 1057;109599 1042
data,1241511900,437118.0;24152.0;454044.0;16214.0;456879.0;22191.0,3030.0 71.0 109601 0.0001 0.0163 0.0486 0.0536 0.0096;3330.0 194.0 109603 -0.0097 0.0137 0.0425 0.1489 0.0001;4787.0 125.0 109476 -0.0091 0.0259 0.0576 0.0518 0.0083;35887.0 3542.0 109605 -0.0276 0.0923 0.0736 0.1726 0.0248;1802.0 30.0 109608 -0.0049 0.0326 0.0440 -0.0035 0.0038;2044.0 29.0 109610 0.0195 0.0277 -0.0056 0.0436 0.0046;1741.0 28.0 109611 0.0010 -0.0002 0.0322 0.0734 0.0023;25241.0 2197.0 109612 0.0200 0.0866 0.0953 0.1489 -0.0269;1836.0 21.0 109613 0.0027 0.0308 0.0247 0.0202 0.0045;8646.0 446.0 109614 0.0264 0.0579 0.0617 0.1261 0.0189;5609.0 296.0 109615 0.0046 0.0834 0.0433 0.1311 0.0121;11059.0 623.0 109617 0.0279 0.0708 0.0517 0.1353 0.0195;1277.0 10.0 109618 -0.0022 0.0229 0.0169 0.0484 -0.0005;1633.0 17.0 109619 -0.0145 0.0097 0.0344 0.0383 0.0065;10374.0 597.0 109594 -0.0182 0.0491 0.0543 0.1164 0.0108;16616.0 1238.0 109596 0.0069 0.0951 0.0202 0.1323 0.0035;4756.0 117.0 109517 0.0256 0.0364 0.0382 0.0427 -0.0000;7720.0 372.0 109598 0.0269 0.0616 0.0010 0.1092 -0.0009;9401.0 641.0 109599 -0.0541 0.0549 0.0769 0.1099 0.0025,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1061;109603 1082;109476 1060;109605 1119;109608 1001;109610 1071;109611 1030;109612 1057;109613 1053;109614 983;109615 1025;109617 1046;109618 1066;109619 1033;109594 1091;109596 1072;109517 1041;109598 1045;109599 1064
data,1241512800,438109.0;24185.0;455067.0;16239.0;457896.0;22213.0,3042.0 71.0 109601 0.0001 0.0163 0.0486 0.0536 0.0095;3340.0 194.0 109603 -0.0097 0.0137 0.0425 0.1489 0.0000;4787.0 125.0 109476 -0.0091 0.0259 0.0576 0.0518 0.0083;36062.0 3551.0 109605 -0.0276 0.0921 0.0737 0.1723 0.0247;1813.0 30.0 109608 -0.0049 0.0326 0.0440 -0.0035 0.0038;2055.0 29.0 109610 0.0195 0.0275 -0.0056 0.0437 0.0046;1751.0 28.0 109611 0.0010 -0.0002 0.0322 0.0734 0.0022;25408.0 2205.0 109612 0.0200 0.0864 0.0949 0.1486 -0.0274;1849.0 21.0 109613 0.0026 0.0306 0.0247 0.0203 0.0044;9066.0 458.0 109614 0.0262 0.0578 0.0616 0.1261 0.0202;5626.0 296.0 109615 0.0046 0.0832 0.0433 0.1310 0.0119;11143.0 626.0 109617 0.0281 0.0706 0.0517 0.1354 0.0195;1289.0 10.0 109618 -0.0022 0.0229 0.0168 0.0484 -0.0005;1646.0 17.0 109619 -0.0145 0.0097 0.0341 0.0383 0.0064;10374.0 597.0 109594 -0.0182 0.0491 0.0543 0.1164 0.0108;16637.0 1239.0 109596 0.0069 0.0946 0.0201 0.1324 0.0035;4756.0 117.0 109517 0.0256 0.0364 0.0382 0.0427 -0.0000;7724.0 372.0 109598 0.0269 0.0614 0.0010 0.1092 -0.0009;9412.0 641.0 109599 -0.0540 0.0544 0.0769 0.1099 0.0024,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1016;109603 1083;109476 1074;109605 1021;109608 1025;109610 1038;109611 1049;109612 1022;109613 1048;109614 1026;109615 1109;109617 1005;109618 1087;109619 1028;109594 1065;109596 1047;109517 1109;109598 1057;109599 1091
data,1241513400,439128.0;24218.0;456123.0;16259.0;458912.0;22236.0,3064.0 71.0 109601 0.0001 0.0162 0.0486 0.0537 0.0094;3357.0 194.0 109603 -0.0096 0.0134 0.0425 0.1487 0.0000;4787.0 125.0 109476 -0.0091 0.0259 0.0576 0.0518 0.0083;36276.0 3562.0 109605 -0.0276 0.0915 0.0737 0.1723 0.0243;1830.0 30.0 109608 -0.0049 0.0324 0.0440 -0.0035 0.0037;2075.0 29.0 109610 0.0194 0.0275 -0.0056 0.0438 0.0045;1767.0 28.0 109611 0.0009 -0.0002 0.0322 0.0734 0.0022;25598.0 2213.0 109612 0.0195 0.0863 0.0947 0.1482 -0.0273;1866.0 21.0 109613 0.0027 0.0303 0.0246 0.0204 0.0043;9273.0 466.0 109614 0.0281 0.0572 0.0613 0.1258 0.0199;4756.0 117.0 109517 0.0256 0.0364 0.0382 0.0427 -0.0000;11230.0 627.0 109617 0.0279 0.0707 0.0517 0.1354 0.0191;1305.0 10.0 109618 -0.0022 0.0227 0.0168 0.0484 -0.0005;1707.0 18.0 109619 -0.0144 0.0097 0.0341 0.0382 0.0070;10374.0 597.0 109594 -0.0182 0.0491 0.0543 0.1164 0.0108;5658.0 296.0 109615 0.0047 0.0831 0.0434 0.1306 0.0117;16665.0 1242.0 109596 0.0069 0.0949 0.0202 0.1323 0.0035;7743.0 372.0 109598 0.0269 0.0613 0.0010 0.1092 -0.0009;9468.0 642.0 109599 -0.0540 0.0544 0.0769 0.1099 0.0033,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1075;109603 1043;109476 1015;109605 952;109608 1081;109610 1047;109611 1083;109612 1109;109613 1026;109614 1039;109517 1066;109617 1024;109618 1076;109619 1050;109594 1066;109615 1078;109596 1054;109598 1049;109599 1067
