
New Run at  11/14/2014 22:09:30
, Time, UCBLearnAccesses; UCBClicks; randomLearnAccesses; randomClicks; greedyLearnAccesses; greedyClicks, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241506500,429472.0;24016.0;446024.0;15964.0;450240.0;21315.0,2636.0 71.0 109601 0.0000 0.0000 0.0000 0.0000 0.0000;2543.0 128.0 109603 0.0000 0.0000 0.0000 0.0000 0.0000;5544.0 133.0 109476 0.0000 0.0000 0.0000 0.0000 0.0000;31382.0 3229.0 109605 0.0000 0.0000 0.0000 0.0000 0.0000;1461.0 24.0 109608 0.0000 0.0000 0.0000 0.0000 0.0000;1729.0 31.0 109610 0.0000 0.0000 0.0000 0.0000 0.0000;1674.0 30.0 109611 0.0000 0.0000 0.0000 0.0000 0.0000;23793.0 2085.0 109612 0.0000 0.0000 0.0000 0.0000 0.0000;7038.0 208.0 109517 0.0000 0.0000 0.0000 0.0000 0.0000;7715.0 434.0 109614 0.0000 0.0000 0.0000 0.0000 0.0000;1432.0 14.0 109613 0.0000 0.0000 0.0000 0.0000 0.0000;9661.0 599.0 109617 0.0000 0.0000 0.0000 0.0000 0.0000;1180.0 14.0 109618 0.0000 0.0000 0.0000 0.0000 0.0000;1393.0 17.0 109619 -0.0014 0.0004 -0.0085 0.0090 0.1706;7062.0 450.0 109594 0.0000 0.0000 0.0000 0.0000 0.0000;4891.0 279.0 109615 0.0000 0.0000 0.0000 0.0000 0.0000;14642.0 1177.0 109596 0.0000 0.0000 0.0000 0.0000 0.0000;5533.0 268.0 109598 0.0000 0.0000 0.0000 0.0000 0.0000;6615.0 431.0 109599 0.0000 0.0000 0.0000 0.0000 0.0000,109601.0 1076;109603.0 1076;109476.0 1076;109605.0 1076;109608.0 1076;109610.0 1076;109611.0 1076;109612.0 1076;109613.0 1076;109614.0 1076;109517.0 1076;109617.0 1076;109618.0 1076;109619.0 1076;109594.0 1076;109615.0 1076;109596.0 1076;109598.0 1076;109599.0 1076,109601 58;109603 53;109476 54;109605 49;109608 52;109610 59;109611 64;109612 72;109517 54;109614 71;109613 57;109617 67;109618 52;109619 50;109594 57;109615 45;109596 65;109598 51;109599 46
data,1241507400,430514.0;24047.0;447065.0;15996.0;451351.0;21365.0,2706.0 75.0 109601 0.1502 -0.0153 -0.0396 0.1433 -0.0090;2600.0 130.0 109603 0.0842 -0.0004 0.0292 0.0793 -0.0057;5585.0 133.0 109476 0.0000 0.0000 0.0000 0.0000 0.0000;31427.0 3230.0 109605 -0.0394 0.1810 0.0034 -0.0518 -0.0000;1509.0 25.0 109608 -0.0386 0.1281 -0.0012 0.0293 -0.0012;1787.0 34.0 109610 -0.1389 0.1714 -0.0358 0.1688 -0.0085;1740.0 32.0 109611 -0.0022 -0.0005 -0.0033 -0.0073 0.0448;23836.0 2085.0 109612 0.0000 0.0000 0.0000 0.0000 0.0000;7094.0 210.0 109517 -0.0721 -0.0071 0.0131 0.1847 -0.0065;7802.0 439.0 109614 -0.0567 0.1594 0.0886 0.0146 0.0528;4969.0 284.0 109615 0.0039 -0.0947 0.0304 0.2262 0.0119;1474.0 14.0 109613 0.0000 0.0000 0.0000 0.0000 0.0000;9714.0 600.0 109617 -0.0015 -0.0005 -0.0013 -0.0044 0.0281;1240.0 16.0 109618 0.1422 -0.0133 -0.0507 0.0304 -0.0080;1444.0 17.0 109619 -0.0024 -0.0006 -0.0034 0.0029 0.0282;7109.0 451.0 109594 -0.0388 0.1590 0.0026 0.0074 -0.0011;14684.0 1177.0 109596 0.0000 0.0000 0.0000 0.0000 0.0000;5576.0 268.0 109598 0.0000 0.0000 0.0000 0.0000 0.0000;6670.0 433.0 109599 -0.0680 -0.0019 0.1163 0.0995 -0.0069,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1054;109603 1040;109476 994;109605 1082;109608 1030;109610 1080;109611 1038;109612 1165;109517 1112;109614 1101;109615 984;109613 992;109617 1067;109618 1020;109619 1069;109594 1064;109596 1039;109598 1091;109599 978
data,1241508000,431589.0;24077.0;448147.0;16018.0;452347.0;21406.0,2757.0 75.0 109601 0.1042 -0.0215 -0.0368 0.0967 -0.0072;2647.0 130.0 109603 0.0622 -0.0055 0.0145 0.0496 -0.0027;5623.0 133.0 109476 0.0000 0.0000 0.0000 0.0000 0.0000;31475.0 3231.0 109605 -0.0358 0.0992 -0.0060 0.0789 -0.0005;1557.0 26.0 109608 0.0290 0.0822 0.0237 0.0244 -0.0014;1851.0 38.0 109610 -0.0741 0.1501 -0.0426 0.1741 -0.0097;1818.0 36.0 109611 -0.0665 -0.0037 0.1213 0.0552 0.0281;23927.0 2091.0 109612 -0.0001 -0.0208 0.1266 0.0833 0.0089;1513.0 14.0 109613 0.0000 0.0000 0.0000 0.0000 0.0000;7908.0 444.0 109614 -0.0028 0.0791 0.0485 0.1131 0.0400;5035.0 286.0 109615 -0.0102 -0.0845 0.0090 0.1979 0.0094;9792.0 604.0 109617 0.1564 0.0531 -0.0283 -0.0551 0.0093;1285.0 16.0 109618 0.1070 -0.0075 -0.0328 0.0134 -0.0041;1485.0 17.0 109619 -0.0009 -0.0001 -0.0017 0.0017 0.0156;7149.0 451.0 109594 -0.0294 0.1010 0.0023 -0.0006 -0.0009;14721.0 1177.0 109596 0.0000 0.0000 0.0000 0.0000 0.0000;7138.0 210.0 109517 -0.0616 -0.0133 0.0079 0.1332 -0.0028;5620.0 269.0 109598 -0.0473 0.0072 -0.0156 0.1095 -0.0013;6740.0 435.0 109599 -0.0546 -0.0028 0.0811 0.0664 0.0242,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1043;109603 991;109476 1066;109605 1037;109608 1013;109610 1032;109611 1000;109612 1048;109613 1104;109614 1085;109615 1044;109617 1053;109618 1048;109619 1078;109594 1096;109596 1134;109517 1039;109598 1049;109599 1040
data,1241508900,432652.0;24100.0;449214.0;16044.0;453427.0;21435.0,2814.0 76.0 109601 0.0686 -0.0123 0.0376 0.0665 -0.0054;2687.0 130.0 109603 0.0468 -0.0055 0.0125 0.0410 -0.0016;5659.0 133.0 109476 0.0000 0.0000 0.0000 0.0000 0.0000;31553.0 3234.0 109605 -0.0451 0.1194 -0.0016 0.0453 0.0181;1611.0 27.0 109608 0.0111 0.0600 0.0172 0.0604 -0.0015;7176.0 210.0 109517 -0.0498 -0.0061 0.0094 0.1051 -0.0016;1870.0 36.0 109611 -0.0544 -0.0027 0.0965 0.0441 0.0193;24004.0 2095.0 109612 -0.0476 -0.0269 0.1282 0.1150 0.0006;1549.0 14.0 109613 0.0000 0.0000 0.0000 0.0000 0.0000;8036.0 451.0 109614 -0.0201 0.0541 0.0132 0.1838 0.0362;5088.0 286.0 109615 -0.0117 -0.0737 0.0046 0.1582 0.0057;9867.0 606.0 109617 0.1480 0.0245 -0.0216 -0.0644 0.0121;1323.0 16.0 109618 0.0856 -0.0058 -0.0233 0.0120 -0.0026;1542.0 19.0 109619 -0.0301 0.0031 0.0891 -0.0011 0.0090;7195.0 452.0 109594 -0.0342 0.0775 0.0649 -0.0077 -0.0005;14766.0 1178.0 109596 -0.0295 -0.0019 -0.0082 0.0866 -0.0007;1901.0 38.0 109610 -0.0635 0.1144 -0.0325 0.1356 -0.0069;5660.0 269.0 109598 -0.0373 0.0051 -0.0102 0.0816 -0.0007;6803.0 436.0 109599 -0.0420 -0.0037 0.0644 0.0500 0.0236,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1009;109603 1108;109476 1057;109605 1074;109608 1012;109517 1020;109611 1051;109612 1036;109613 1068;109614 1029;109615 1037;109617 1058;109618 1048;109619 1031;109594 1107;109596 1035;109610 1070;109598 1036;109599 1114
data,1241509500,433661.0;24137.0;450229.0;16061.0;454524.0;21469.0,2849.0 76.0 109601 0.0593 -0.0113 0.0297 0.0626 -0.0042;2738.0 133.0 109603 0.0929 -0.0110 -0.0042 0.0681 -0.0026;5686.0 133.0 109476 0.0000 0.0000 0.0000 0.0000 0.0000;31592.0 3234.0 109605 -0.0445 0.1045 -0.0014 0.0405 0.0148;1641.0 27.0 109608 0.0095 0.0527 0.0147 0.0548 -0.0012;1964.0 41.0 109610 0.0460 0.0920 -0.0339 0.1103 -0.0076;1907.0 36.0 109611 -0.0445 -0.0026 0.0827 0.0408 0.0162;24085.0 2100.0 109612 -0.0681 -0.0294 0.1237 0.1447 0.0092;7204.0 210.0 109517 -0.0468 -0.0046 0.0084 0.0985 -0.0012;8335.0 473.0 109614 -0.0474 0.0426 0.0127 0.1843 0.0547;1577.0 14.0 109613 0.0000 0.0000 0.0000 0.0000 0.0000;9904.0 606.0 109617 0.1308 0.0182 -0.0207 -0.0543 0.0088;1355.0 16.0 109618 0.0735 -0.0062 -0.0202 0.0115 -0.0019;1582.0 20.0 109619 -0.0381 0.0005 0.0777 0.0510 0.0070;7223.0 452.0 109594 -0.0281 0.0706 0.0528 -0.0061 -0.0005;5138.0 288.0 109615 0.0397 -0.0799 0.0053 0.1433 0.0036;14804.0 1179.0 109596 -0.0468 -0.0071 -0.0147 0.1146 -0.0017;5690.0 269.0 109598 -0.0330 0.0049 -0.0085 0.0719 -0.0005;6839.0 436.0 109599 -0.0368 -0.0028 0.0542 0.0480 0.0196,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1047;109603 1059;109476 1086;109605 1096;109608 1093;109610 1063;109611 1066;109612 1089;109517 1053;109614 1020;109613 1052;109617 1083;109618 1032;109619 1057;109594 1013;109615 1009;109596 1032;109598 1031;109599 1019
data,1241510400,434683.0;24157.0;451289.0;16081.0;455575.0;21497.0,2884.0 76.0 109601 0.0522 -0.0078 0.0267 0.0596 -0.0032;2793.0 134.0 109603 0.0669 0.0245 -0.0025 0.0662 -0.0033;5721.0 133.0 109476 0.0000 0.0000 0.0000 0.0000 0.0000;31673.0 3239.0 109605 -0.0783 0.0781 -0.0120 0.1431 0.0116;1675.0 27.0 109608 0.0094 0.0407 0.0123 0.0544 -0.0009;2016.0 42.0 109610 0.0418 0.0813 -0.0335 0.1085 -0.0072;1946.0 36.0 109611 -0.0403 -0.0029 0.0736 0.0416 0.0134;24163.0 2102.0 109612 -0.0647 -0.0282 0.1059 0.1297 0.0127;1612.0 14.0 109613 0.0000 0.0000 0.0000 0.0000 0.0000;8519.0 479.0 109614 -0.0453 0.0311 0.0112 0.1796 0.0480;7238.0 210.0 109517 -0.0410 -0.0034 0.0081 0.0881 -0.0009;9951.0 606.0 109617 0.1153 0.0120 -0.0205 -0.0443 0.0064;1390.0 16.0 109618 0.0641 -0.0042 -0.0165 0.0118 -0.0014;1618.0 20.0 109619 -0.0345 -0.0003 0.0677 0.0496 0.0058;7281.0 454.0 109594 0.0366 0.0548 0.0441 0.0105 -0.0010;5190.0 289.0 109615 0.0174 -0.0769 -0.0015 0.1523 0.0021;14850.0 1180.0 109596 -0.0055 -0.0118 -0.0156 0.1072 -0.0014;5731.0 270.0 109598 -0.0411 0.0049 0.0375 0.0700 -0.0008;6884.0 436.0 109599 -0.0336 -0.0030 0.0468 0.0463 0.0162,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1055;109603 1092;109476 1034;109605 1141;109608 1037;109610 1059;109611 1067;109612 984;109613 1058;109614 1060;109517 1088;109617 1026;109618 1045;109619 1060;109594 1074;109615 1012;109596 1011;109598 1037;109599 1060
data,1241511000,435726.0;24185.0;452355.0;16112.0;456622.0;21530.0,2919.0 76.0 109601 0.0489 -0.0056 0.0241 0.0555 -0.0025;2842.0 135.0 109603 0.0616 0.0457 -0.0024 0.0559 -0.0029;5761.0 134.0 109476 -0.0119 -0.0052 0.0011 0.0559 -0.0001;31731.0 3241.0 109605 -0.0159 0.0622 -0.0144 0.1357 0.0090;1710.0 27.0 109608 0.0102 0.0362 0.0108 0.0480 -0.0007;2057.0 43.0 109610 0.0293 0.0691 -0.0364 0.1238 -0.0066;2001.0 38.0 109611 -0.0653 -0.0016 0.0573 0.1203 0.0110;24258.0 2109.0 109612 -0.0028 -0.0364 0.1077 0.1328 0.0071;1641.0 14.0 109613 0.0000 0.0000 0.0000 0.0000 0.0000;8731.0 489.0 109614 0.0095 0.0252 0.0391 0.1554 0.0427;5228.0 289.0 109615 0.0211 -0.0713 0.0008 0.1357 0.0019;10018.0 608.0 109617 0.1024 0.0053 -0.0234 0.0085 0.0097;1423.0 16.0 109618 0.0576 -0.0024 -0.0141 0.0114 -0.0011;1698.0 22.0 109619 -0.0298 -0.0012 0.0609 0.0439 0.0137;7316.0 454.0 109594 0.0343 0.0475 0.0390 0.0104 -0.0009;14883.0 1180.0 109596 -0.0050 -0.0102 -0.0140 0.0979 -0.0011;7272.0 210.0 109517 -0.0357 -0.0024 0.0078 0.0790 -0.0007;5765.0 270.0 109598 -0.0371 0.0044 0.0321 0.0631 -0.0006;6924.0 436.0 109599 -0.0286 -0.0027 0.0418 0.0414 0.0139,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1050;109603 1041;109476 1054;109605 1041;109608 1070;109610 1046;109611 1008;109612 1069;109613 1060;109614 1123;109615 1003;109617 1062;109618 1077;109619 982;109594 1094;109596 1057;109517 1064;109598 1057;109599 1042
data,1241511900,436820.0;24215.0;453433.0;16137.0;457649.0;21552.0,3000.0 78.0 109601 0.0459 -0.0050 0.0220 0.0518 0.0082;2894.0 137.0 109603 0.0449 0.0439 -0.0053 0.0857 -0.0029;5791.0 134.0 109476 -0.0121 -0.0045 0.0011 0.0524 -0.0001;31773.0 3241.0 109605 -0.0158 0.0542 -0.0136 0.1264 0.0079;1765.0 28.0 109608 0.0092 0.0309 0.0100 0.0473 0.0049;2099.0 43.0 109610 0.0301 0.0599 -0.0317 0.1103 -0.0056;2060.0 41.0 109611 -0.0745 -0.0094 0.0548 0.1344 0.0089;24308.0 2109.0 109612 -0.0148 -0.0328 0.0996 0.1262 0.0062;1671.0 14.0 109613 0.0000 0.0000 0.0000 0.0000 0.0000;8879.0 493.0 109614 0.0163 0.0318 0.0413 0.1441 0.0385;5286.0 294.0 109615 -0.0063 -0.0619 -0.0147 0.1925 -0.0018;10072.0 609.0 109617 0.0974 0.0254 -0.0219 0.0021 0.0081;1451.0 16.0 109618 0.0555 -0.0027 -0.0128 0.0114 -0.0009;1742.0 23.0 109619 0.0080 -0.0043 0.0548 0.0455 0.0119;7442.0 461.0 109594 0.0019 0.0425 0.0968 0.0204 0.0070;14917.0 1180.0 109596 -0.0038 -0.0091 -0.0122 0.0891 -0.0009;7302.0 210.0 109517 -0.0334 -0.0024 0.0072 0.0756 -0.0006;5819.0 272.0 109598 0.0363 0.0022 0.0239 0.0536 -0.0008;7001.0 438.0 109599 -0.0255 -0.0031 0.0381 0.0411 0.0176,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1061;109603 1082;109476 1060;109605 1119;109608 1001;109610 1071;109611 1030;109612 1057;109613 1053;109614 983;109615 1025;109617 1046;109618 1066;109619 1033;109594 1091;109596 1072;109517 1041;109598 1045;109599 1064
data,1241512800,437873.0;24241.0;454503.0;16165.0;458694.0;21575.0,3047.0 79.0 109601 0.0298 -0.0011 0.0500 0.0484 0.0070;2928.0 137.0 109603 0.0377 0.0424 -0.0039 0.0865 -0.0026;5824.0 134.0 109476 -0.0126 -0.0042 0.0009 0.0524 -0.0001;31844.0 3243.0 109605 -0.0236 0.0509 0.0178 0.1250 0.0099;1808.0 29.0 109608 0.0025 0.0289 0.0104 0.0683 0.0041;2137.0 43.0 109610 0.0237 0.0585 -0.0287 0.1081 -0.0049;2095.0 41.0 109611 -0.0740 -0.0125 0.0523 0.1332 0.0078;24467.0 2122.0 109612 -0.0509 0.0475 0.0947 0.1642 0.0092;1728.0 15.0 109613 -0.0002 -0.0000 -0.0001 -0.0001 0.0047;9008.0 495.0 109614 0.0124 0.0260 0.0336 0.1431 0.0361;5348.0 297.0 109615 -0.0059 -0.0515 -0.0049 0.1705 -0.0023;10126.0 610.0 109617 0.0990 0.0192 -0.0242 0.0055 0.0067;1485.0 16.0 109618 0.0485 -0.0016 -0.0106 0.0119 -0.0008;1787.0 23.0 109619 0.0034 -0.0037 0.0496 0.0440 0.0106;7491.0 462.0 109594 -0.0014 0.0635 0.0885 0.0207 0.0055;14946.0 1180.0 109596 -0.0065 -0.0089 -0.0113 0.0892 -0.0008;7333.0 210.0 109517 -0.0319 -0.0023 0.0066 0.0753 -0.0005;5854.0 272.0 109598 0.0310 0.0013 0.0223 0.0536 -0.0007;7069.0 439.0 109599 -0.0235 -0.0031 0.0343 0.0406 0.0177,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1016;109603 1083;109476 1074;109605 1021;109608 1025;109610 1038;109611 1049;109612 1022;109613 1048;109614 1026;109615 1109;109617 1005;109618 1087;109619 1028;109594 1065;109596 1047;109517 1109;109598 1057;109599 1091
data,1241513400,438883.0;24261.0;455586.0;16190.0;459715.0;21605.0,3086.0 79.0 109601 0.0308 -0.0018 0.0410 0.0491 0.0063;2966.0 137.0 109603 0.0329 0.0408 -0.0035 0.0856 -0.0023;5856.0 134.0 109476 -0.0122 -0.0039 0.0008 0.0496 -0.0001;31891.0 3244.0 109605 -0.0291 0.0450 0.0141 0.1327 0.0087;1852.0 30.0 109608 -0.0055 0.0243 0.0109 0.0870 0.0033;2175.0 44.0 109610 0.0104 0.0517 -0.0294 0.1291 -0.0047;2136.0 41.0 109611 -0.0704 -0.0123 0.0480 0.1271 0.0070;24551.0 2125.0 109612 -0.0359 0.0541 0.0859 0.1546 0.0070;1774.0 16.0 109613 -0.0087 0.0007 -0.0031 0.0500 0.0041;9196.0 502.0 109614 0.0081 0.0361 0.0537 0.1379 0.0334;7386.0 212.0 109517 -0.0396 0.0568 0.0074 0.0667 -0.0004;10196.0 611.0 109617 0.0918 0.0182 -0.0224 0.0039 0.0084;1518.0 16.0 109618 0.0455 -0.0016 -0.0093 0.0119 -0.0007;1827.0 23.0 109619 0.0028 -0.0035 0.0458 0.0434 0.0095;7531.0 462.0 109594 -0.0025 0.0584 0.0822 0.0220 0.0046;5384.0 297.0 109615 -0.0067 -0.0486 -0.0069 0.1658 -0.0027;15006.0 1183.0 109596 -0.0042 -0.0121 -0.0123 0.1186 -0.0013;5889.0 272.0 109598 0.0274 0.0009 0.0196 0.0536 -0.0006;7115.0 439.0 109599 -0.0222 -0.0028 0.0314 0.0395 0.0160,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1075;109603 1043;109476 1015;109605 952;109608 1081;109610 1047;109611 1083;109612 1109;109613 1026;109614 1039;109517 1066;109617 1024;109618 1076;109619 1050;109594 1066;109615 1078;109596 1054;109598 1049;109599 1067
