
New Run at  11/14/2014 21:36:40
, Time, UCBLearnAccesses; UCBClicks; randomLearnAccesses; randomClicks; greedyLearnAccesses; greedyClicks, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241420700,181661.0;7204.0;189952.0;5953.0;191301.0;7963.0,3715.0 32.0 109536 -0.0105 0.0200 0.0112 0.0324 0.0076;9453.0 522.0 109572 -0.0108 0.0172 0.0005 0.1282 -0.0012;6326.0 237.0 109574 -0.0144 0.0984 0.0146 0.1019 0.0041;4476.0 135.0 109575 0.0076 0.0446 0.0480 0.0514 0.0097;7233.0 349.0 109576 -0.0207 -0.0480 0.0577 0.1115 0.0246;4081.0 150.0 109577 0.0260 0.0550 0.0098 0.0645 -0.0020;3212.0 84.0 109578 -0.0230 0.1025 -0.0010 0.0278 0.0023;3569.0 107.0 109580 0.0012 0.0204 0.0264 0.0166 -0.0002;5481.0 182.0 109517 0.0108 0.0388 0.0437 0.0327 0.0070;9096.0 561.0 109582 0.0594 0.0240 0.0375 0.0581 -0.0073;3567.0 157.0 109581 0.0011 0.0796 0.0073 0.0682 -0.0012;5006.0 276.0 109584 0.0205 0.0560 0.0653 0.0625 -0.0013;4909.0 273.0 109585 -0.0174 0.1074 0.0056 0.0553 -0.0043;1827.0 25.0 109586 -0.0049 -0.0014 0.0117 0.0215 -0.0001;791.0 12.0 109587 0.0039 0.0398 0.0138 0.0434 0.0028;825.0 13.0 109588 0.0014 0.0474 0.0196 0.0392 0.0012;948.0 19.0 109589 0.0103 -0.0101 0.0155 0.0699 0.0015;6468.0 184.0 109476 0.0213 0.0140 0.0359 0.0674 0.0014;1959.0 37.0 109583 -0.0362 0.0803 0.0336 0.0701 0.0002;9333.0 306.0 109524 0.0391 -0.0101 0.0325 0.0690 0.0170,109536.0 13637;109476.0 13637;109574.0 13637;109575.0 13637;109576.0 13637;109580.0 13637;109578.0 13637;109581.0 13637;109517.0 13637;109582.0 13637;109583.0 13637;109584.0 13637;109585.0 13637;109586.0 13637;109587.0 13637;109588.0 13637;109589.0 13637;109577.0 13637;109524.0 13637;109572.0 13637,109536 677;109572 694;109574 725;109575 673;109576 728;109577 693;109578 711;109580 653;109517 661;109582 674;109581 702;109584 665;109585 698;109586 683;109587 639;109588 620;109589 686;109476 701;109583 665;109524 689
data,1241421300,182632.0;7229.0;190939.0;5969.0;192308.0;7990.0,3742.0 32.0 109536 -0.0102 0.0196 0.0109 0.0324 0.0072;6496.0 184.0 109476 0.0215 0.0132 0.0347 0.0676 0.0013;6431.0 240.0 109574 -0.0075 0.0994 0.0156 0.0883 0.0051;4537.0 136.0 109575 0.0080 0.0434 0.0467 0.0518 0.0107;7330.0 351.0 109576 -0.0215 -0.0476 0.0576 0.1115 0.0227;4110.0 150.0 109577 0.0261 0.0537 0.0094 0.0639 -0.0019;3237.0 84.0 109578 -0.0228 0.1010 -0.0010 0.0284 0.0020;3592.0 107.0 109580 0.0013 0.0201 0.0257 0.0167 -0.0002;5514.0 182.0 109517 0.0107 0.0373 0.0425 0.0333 0.0066;9217.0 567.0 109582 0.0643 0.0208 0.0354 0.0546 -0.0078;3610.0 158.0 109581 0.0041 0.0781 0.0067 0.0678 -0.0012;5099.0 282.0 109584 0.0180 0.0665 0.0640 0.0690 -0.0017;4934.0 273.0 109585 -0.0173 0.1063 0.0054 0.0556 -0.0043;1850.0 25.0 109586 -0.0048 -0.0014 0.0113 0.0216 -0.0000;817.0 12.0 109587 0.0040 0.0387 0.0133 0.0436 0.0026;9407.0 307.0 109524 0.0392 -0.0104 0.0313 0.0682 0.0169;975.0 19.0 109589 0.0102 -0.0102 0.0149 0.0700 0.0014;9514.0 527.0 109572 -0.0130 0.0138 -0.0028 0.1325 -0.0021;1983.0 37.0 109583 -0.0359 0.0803 0.0324 0.0700 0.0002;851.0 13.0 109588 0.0016 0.0460 0.0189 0.0395 0.0011,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 969;109476 1072;109574 1005;109575 1032;109576 982;109577 1005;109578 977;109580 1039;109517 1037;109582 989;109581 1042;109584 1049;109585 944;109586 964;109587 987;109524 979;109589 988;109572 977;109583 989;109588 974
data,1241422200,183638.0;7251.0;191931.0;5990.0;193311.0;8010.0,3765.0 32.0 109536 -0.0102 0.0191 0.0106 0.0325 0.0068;6534.0 185.0 109476 0.0235 0.0122 0.0338 0.0678 0.0012;6465.0 240.0 109574 -0.0069 0.0979 0.0153 0.0875 0.0046;4570.0 136.0 109575 0.0077 0.0423 0.0461 0.0522 0.0101;7531.0 357.0 109576 -0.0200 -0.0480 0.0559 0.1105 0.0239;4160.0 152.0 109577 0.0246 0.0551 0.0086 0.0678 -0.0021;3263.0 84.0 109578 -0.0227 0.0986 -0.0010 0.0294 0.0018;3645.0 109.0 109580 -0.0010 0.0198 0.0347 0.0159 -0.0003;5542.0 182.0 109517 0.0103 0.0367 0.0420 0.0337 0.0063;9327.0 569.0 109582 0.0589 0.0198 0.0354 0.0575 -0.0079;3635.0 158.0 109581 0.0036 0.0772 0.0065 0.0682 -0.0012;5153.0 282.0 109584 0.0184 0.0608 0.0631 0.0674 -0.0018;4979.0 275.0 109585 -0.0203 0.1046 0.0049 0.0622 -0.0042;1870.0 25.0 109586 -0.0048 -0.0014 0.0112 0.0216 -0.0000;841.0 12.0 109587 0.0036 0.0382 0.0132 0.0437 0.0025;9454.0 307.0 109524 0.0393 -0.0105 0.0304 0.0672 0.0161;995.0 19.0 109589 0.0100 -0.0103 0.0148 0.0701 0.0013;9641.0 534.0 109572 -0.0132 0.0109 -0.0009 0.1334 0.0031;2009.0 37.0 109583 -0.0355 0.0793 0.0317 0.0695 0.0001;873.0 13.0 109588 0.0016 0.0450 0.0187 0.0398 0.0011,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1018;109476 939;109574 980;109575 927;109576 1027;109577 944;109578 1060;109580 1010;109517 1037;109582 1000;109581 1033;109584 1005;109585 991;109586 976;109587 934;109524 1018;109589 1027;109572 1024;109583 992;109588 1058
data,1241422800,184659.0;7272.0;192923.0;6013.0;194276.0;8027.0,3797.0 32.0 109536 -0.0099 0.0187 0.0104 0.0320 0.0064;9698.0 534.0 109572 -0.0113 0.0142 -0.0001 0.1286 0.0023;6659.0 254.0 109574 0.0066 0.0974 0.0130 0.0925 0.0065;4612.0 136.0 109575 0.0078 0.0410 0.0450 0.0519 0.0095;7663.0 362.0 109576 -0.0220 -0.0489 0.0556 0.1132 0.0228;4195.0 152.0 109577 0.0249 0.0542 0.0086 0.0656 -0.0020;3295.0 84.0 109578 -0.0220 0.0968 -0.0010 0.0288 0.0017;3675.0 109.0 109580 -0.0007 0.0193 0.0338 0.0157 -0.0002;5580.0 182.0 109517 0.0098 0.0355 0.0412 0.0341 0.0059;9364.0 569.0 109582 0.0576 0.0202 0.0349 0.0578 -0.0079;2040.0 37.0 109583 -0.0346 0.0769 0.0309 0.0694 0.0001;5196.0 282.0 109584 0.0181 0.0600 0.0619 0.0668 -0.0019;5013.0 275.0 109585 -0.0186 0.1023 0.0046 0.0607 -0.0041;1899.0 25.0 109586 -0.0047 -0.0013 0.0108 0.0209 -0.0000;873.0 12.0 109587 0.0040 0.0376 0.0129 0.0426 0.0023;9503.0 307.0 109524 0.0392 -0.0106 0.0298 0.0667 0.0153;1030.0 20.0 109589 0.0057 -0.0128 0.0128 0.0800 0.0011;904.0 13.0 109588 0.0017 0.0442 0.0183 0.0396 0.0010;6609.0 186.0 109476 0.0227 0.0120 0.0330 0.0672 0.0033;3668.0 158.0 109581 0.0041 0.0752 0.0062 0.0676 -0.0012,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1005;109572 997;109574 1051;109575 1025;109576 935;109577 1036;109578 1021;109580 972;109517 1007;109582 990;109583 944;109584 1032;109585 1012;109586 1006;109587 996;109524 972;109589 982;109588 1034;109476 984;109581 999
data,1241423700,185643.0;7295.0;193911.0;6030.0;195302.0;8039.0,3829.0 32.0 109536 -0.0098 0.0183 0.0103 0.0320 0.0061;9724.0 534.0 109572 -0.0115 0.0143 -0.0001 0.1286 0.0018;6834.0 265.0 109574 0.0009 0.0968 0.0114 0.1048 0.0049;4650.0 136.0 109575 0.0074 0.0408 0.0445 0.0523 0.0089;7784.0 365.0 109576 -0.0231 -0.0486 0.0554 0.1133 0.0222;4223.0 152.0 109577 0.0248 0.0539 0.0083 0.0657 -0.0020;3326.0 84.0 109578 -0.0224 0.0962 -0.0010 0.0291 0.0016;3702.0 109.0 109580 -0.0005 0.0189 0.0331 0.0159 -0.0002;5625.0 183.0 109517 0.0093 0.0445 0.0406 0.0333 0.0055;9405.0 569.0 109582 0.0567 0.0188 0.0340 0.0589 -0.0080;2069.0 37.0 109583 -0.0342 0.0758 0.0304 0.0696 0.0001;5233.0 282.0 109584 0.0176 0.0592 0.0611 0.0672 -0.0020;5040.0 275.0 109585 -0.0182 0.1010 0.0045 0.0610 -0.0038;1924.0 25.0 109586 -0.0047 -0.0013 0.0106 0.0209 -0.0000;917.0 13.0 109587 0.0037 0.0448 0.0127 0.0410 0.0022;970.0 14.0 109588 0.0015 0.0436 0.0180 0.0397 0.0032;1103.0 26.0 109589 -0.0063 -0.0191 0.0111 0.1058 0.0007;9557.0 307.0 109524 0.0384 -0.0104 0.0295 0.0670 0.0144;6645.0 186.0 109476 0.0223 0.0116 0.0325 0.0674 0.0030;3697.0 158.0 109581 0.0040 0.0742 0.0060 0.0679 -0.0011,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1004;109572 1026;109574 1018;109575 997;109576 967;109577 1034;109578 992;109580 979;109517 1029;109582 1026;109583 1008;109584 979;109585 1000;109586 965;109587 961;109588 1010;109589 964;109524 1028;109476 1007;109581 1006
data,1241424300,186628.0;7318.0;194892.0;6045.0;196319.0;8053.0,3857.0 32.0 109536 -0.0097 0.0179 0.0100 0.0321 0.0058;9784.0 535.0 109572 -0.0114 0.0143 -0.0005 0.1285 0.0031;6960.0 274.0 109574 -0.0015 0.0989 0.0143 0.1067 0.0036;4690.0 137.0 109575 0.0069 0.0404 0.0466 0.0521 0.0086;7886.0 366.0 109576 -0.0225 -0.0480 0.0538 0.1122 0.0214;4250.0 152.0 109577 0.0247 0.0531 0.0078 0.0658 -0.0020;3353.0 84.0 109578 -0.0221 0.0946 -0.0010 0.0298 0.0016;3727.0 109.0 109580 -0.0004 0.0185 0.0326 0.0160 -0.0002;3720.0 158.0 109581 0.0042 0.0731 0.0058 0.0682 -0.0011;9433.0 569.0 109582 0.0565 0.0186 0.0336 0.0590 -0.0081;2094.0 37.0 109583 -0.0340 0.0751 0.0300 0.0698 0.0001;5310.0 284.0 109584 0.0196 0.0578 0.0605 0.0667 0.0001;5069.0 276.0 109585 -0.0189 0.1023 0.0046 0.0602 -0.0038;1949.0 25.0 109586 -0.0046 -0.0013 0.0104 0.0210 -0.0000;942.0 13.0 109587 0.0036 0.0441 0.0126 0.0411 0.0021;1052.0 17.0 109588 0.0152 0.0410 0.0157 0.0414 0.0029;1247.0 31.0 109589 -0.0043 -0.0178 0.0140 0.0983 0.0043;6670.0 186.0 109476 0.0224 0.0112 0.0319 0.0675 0.0029;9594.0 307.0 109524 0.0384 -0.0105 0.0289 0.0672 0.0138;5655.0 183.0 109517 0.0096 0.0427 0.0399 0.0337 0.0052,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 977;109572 1023;109574 978;109575 983;109576 954;109577 1064;109578 933;109580 960;109581 997;109582 1036;109583 1015;109584 1010;109585 995;109586 1048;109587 978;109588 968;109589 1011;109476 975;109524 1021;109517 1074
data,1241425200,187634.0;7338.0;195893.0;6065.0;197324.0;8065.0,3992.0 35.0 109536 -0.0096 0.0179 0.0096 0.0320 0.0093;6704.0 186.0 109476 0.0220 0.0115 0.0314 0.0667 0.0027;7093.0 283.0 109574 -0.0071 0.1048 0.0140 0.1052 0.0025;4731.0 137.0 109575 0.0073 0.0402 0.0448 0.0518 0.0082;7969.0 367.0 109576 -0.0211 -0.0470 0.0532 0.1101 0.0209;4294.0 153.0 109577 0.0259 0.0529 0.0071 0.0656 -0.0019;5685.0 183.0 109517 0.0094 0.0427 0.0394 0.0336 0.0050;3750.0 109.0 109580 -0.0003 0.0185 0.0320 0.0161 -0.0002;3749.0 158.0 109581 0.0035 0.0731 0.0056 0.0683 -0.0011;9475.0 571.0 109582 0.0592 0.0176 0.0321 0.0584 -0.0084;2123.0 37.0 109583 -0.0336 0.0739 0.0296 0.0695 0.0001;5435.0 287.0 109584 0.0229 0.0578 0.0595 0.0629 0.0016;5097.0 276.0 109585 -0.0185 0.1004 0.0043 0.0608 -0.0037;1973.0 25.0 109586 -0.0046 -0.0012 0.0102 0.0210 -0.0000;970.0 13.0 109587 0.0035 0.0436 0.0122 0.0413 0.0020;1083.0 17.0 109588 0.0145 0.0412 0.0158 0.0407 0.0028;1282.0 31.0 109589 -0.0025 -0.0168 0.0136 0.0947 0.0041;9643.0 307.0 109524 0.0377 -0.0104 0.0285 0.0671 0.0131;3379.0 84.0 109578 -0.0219 0.0935 -0.0010 0.0302 0.0015;9821.0 536.0 109572 -0.0121 0.0134 -0.0032 0.1301 0.0022,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1010;109476 978;109574 1008;109575 1017;109576 1001;109577 970;109517 1001;109580 969;109581 985;109582 1033;109583 1008;109584 1076;109585 967;109586 1007;109587 977;109588 965;109589 1046;109524 997;109578 970;109572 1015
data,1241426100,188570.0;7363.0;196956.0;6079.0;198288.0;8082.0,4022.0 35.0 109536 -0.0095 0.0175 0.0096 0.0320 0.0089;9873.0 540.0 109572 -0.0142 0.0118 -0.0040 0.1326 0.0046;7173.0 288.0 109574 -0.0026 0.0993 0.0125 0.1069 0.0019;4765.0 137.0 109575 0.0074 0.0395 0.0446 0.0512 0.0078;8060.0 371.0 109576 -0.0253 -0.0480 0.0545 0.1140 0.0201;4337.0 154.0 109577 0.0255 0.0521 0.0120 0.0657 -0.0019;3407.0 84.0 109578 -0.0221 0.0925 -0.0010 0.0307 0.0014;3847.0 113.0 109580 0.0030 0.0150 0.0308 0.0446 -0.0003;5736.0 186.0 109517 0.0058 0.0429 0.0501 0.0309 0.0046;9525.0 571.0 109582 0.0564 0.0179 0.0325 0.0593 -0.0083;3775.0 158.0 109581 0.0033 0.0721 0.0055 0.0685 -0.0010;5501.0 289.0 109584 0.0223 0.0567 0.0604 0.0627 0.0024;5125.0 276.0 109585 -0.0186 0.0990 0.0042 0.0614 -0.0036;1996.0 25.0 109586 -0.0046 -0.0012 0.0101 0.0210 -0.0000;996.0 13.0 109587 0.0033 0.0430 0.0122 0.0415 0.0019;9745.0 309.0 109524 0.0375 -0.0110 0.0283 0.0672 0.0138;1310.0 31.0 109589 -0.0027 -0.0168 0.0134 0.0947 0.0039;6732.0 186.0 109476 0.0217 0.0111 0.0315 0.0668 0.0025;2150.0 37.0 109583 -0.0336 0.0734 0.0291 0.0697 0.0001;1109.0 17.0 109588 0.0144 0.0406 0.0156 0.0409 0.0026,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1054;109572 1006;109574 964;109575 986;109576 1028;109577 1015;109578 1004;109580 1033;109517 982;109582 949;109581 991;109584 1005;109585 1006;109586 1073;109587 1003;109524 1001;109589 968;109476 1033;109583 959;109588 940
data,1241426700,189570.0;7377.0;198048.0;6095.0;199343.0;8103.0,4052.0 35.0 109536 -0.0094 0.0172 0.0096 0.0320 0.0086;9992.0 542.0 109572 -0.0137 0.0129 -0.0039 0.1312 0.0047;7265.0 291.0 109574 0.0026 0.0979 0.0127 0.1013 0.0013;4832.0 138.0 109575 0.0072 0.0388 0.0446 0.0510 0.0085;3800.0 158.0 109581 0.0033 0.0707 0.0055 0.0688 -0.0010;4389.0 156.0 109577 0.0274 0.0547 0.0114 0.0645 -0.0020;3433.0 84.0 109578 -0.0216 0.0910 -0.0011 0.0312 0.0014;3871.0 113.0 109580 0.0030 0.0151 0.0307 0.0437 -0.0003;5829.0 189.0 109517 0.0032 0.0427 0.0525 0.0285 0.0040;9559.0 571.0 109582 0.0561 0.0176 0.0325 0.0585 -0.0085;2174.0 37.0 109583 -0.0335 0.0722 0.0291 0.0700 0.0001;5536.0 289.0 109584 0.0214 0.0563 0.0603 0.0628 0.0021;5150.0 276.0 109585 -0.0188 0.0978 0.0042 0.0617 -0.0035;2020.0 25.0 109586 -0.0045 -0.0012 0.0101 0.0210 -0.0000;1021.0 13.0 109587 0.0033 0.0419 0.0122 0.0418 0.0018;9861.0 311.0 109524 0.0371 -0.0110 0.0283 0.0664 0.0143;1342.0 31.0 109589 -0.0032 -0.0165 0.0132 0.0942 0.0037;8158.0 372.0 109576 -0.0245 -0.0467 0.0531 0.1120 0.0197;1139.0 17.0 109588 0.0141 0.0396 0.0157 0.0409 0.0025;6761.0 186.0 109476 0.0213 0.0111 0.0316 0.0663 0.0024,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1010;109572 967;109574 990;109575 963;109581 993;109577 1032;109578 976;109580 969;109517 997;109582 1033;109583 1012;109584 1032;109585 973;109586 1009;109587 1013;109524 1020;109589 1002;109576 982;109588 1015;109476 1012
data,1241427600,190554.0;7402.0;199074.0;6111.0;200339.0;8116.0,4083.0 35.0 109536 -0.0092 0.0167 0.0096 0.0320 0.0082;6833.0 187.0 109476 0.0212 0.0112 0.0313 0.0655 0.0038;7349.0 298.0 109574 -0.0026 0.1012 0.0115 0.1060 0.0007;4866.0 138.0 109575 0.0072 0.0384 0.0446 0.0507 0.0081;8242.0 374.0 109576 -0.0255 -0.0464 0.0538 0.1124 0.0188;4433.0 157.0 109577 0.0296 0.0524 0.0109 0.0639 -0.0021;3461.0 84.0 109578 -0.0214 0.0899 -0.0010 0.0310 0.0013;3918.0 114.0 109580 0.0070 0.0142 0.0304 0.0438 -0.0002;5906.0 190.0 109517 0.0038 0.0419 0.0507 0.0290 0.0052;9583.0 571.0 109582 0.0556 0.0174 0.0326 0.0584 -0.0085;3827.0 158.0 109581 0.0035 0.0703 0.0054 0.0684 -0.0010;5684.0 297.0 109584 0.0199 0.0567 0.0676 0.0587 0.0026;5175.0 276.0 109585 -0.0184 0.0970 0.0041 0.0621 -0.0034;2045.0 25.0 109586 -0.0044 -0.0012 0.0101 0.0207 -0.0000;1047.0 13.0 109587 0.0033 0.0413 0.0122 0.0419 0.0017;9912.0 312.0 109524 0.0370 -0.0107 0.0311 0.0650 0.0137;1367.0 31.0 109589 -0.0033 -0.0164 0.0132 0.0942 0.0035;1164.0 17.0 109588 0.0140 0.0392 0.0157 0.0407 0.0024;2202.0 37.0 109583 -0.0329 0.0713 0.0291 0.0691 0.0000;10071.0 545.0 109572 -0.0143 0.0125 -0.0042 0.1308 0.0052,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1022;109476 1003;109574 988;109575 1001;109576 993;109577 1019;109578 995;109580 1035;109517 1020;109582 973;109581 962;109584 995;109585 1007;109586 956;109587 983;109524 1009;109589 1020;109588 979;109583 1013;109572 1027
data,1241428500,191582.0;7420.0;200059.0;6122.0;201324.0;8139.0,4119.0 35.0 109536 -0.0090 0.0166 0.0096 0.0316 0.0079;6871.0 187.0 109476 0.0206 0.0113 0.0315 0.0651 0.0036;7445.0 301.0 109574 -0.0023 0.0979 0.0115 0.1051 0.0003;4906.0 138.0 109575 0.0067 0.0381 0.0446 0.0505 0.0078;8345.0 376.0 109576 -0.0247 -0.0454 0.0544 0.1104 0.0185;4475.0 157.0 109577 0.0274 0.0528 0.0114 0.0638 -0.0020;3490.0 84.0 109578 -0.0215 0.0894 -0.0011 0.0313 0.0012;3950.0 114.0 109580 0.0066 0.0140 0.0304 0.0437 -0.0002;5936.0 190.0 109517 0.0037 0.0414 0.0507 0.0292 0.0050;9626.0 571.0 109582 0.0548 0.0177 0.0328 0.0579 -0.0085;2236.0 37.0 109583 -0.0332 0.0708 0.0291 0.0693 0.0000;5825.0 304.0 109584 0.0170 0.0564 0.0689 0.0606 0.0018;5208.0 276.0 109585 -0.0189 0.0962 0.0041 0.0623 -0.0032;2073.0 25.0 109586 -0.0045 -0.0012 0.0101 0.0207 -0.0000;1077.0 13.0 109587 0.0030 0.0413 0.0122 0.0419 0.0016;1207.0 18.0 109588 0.0122 0.0470 0.0161 0.0394 0.0023;1402.0 31.0 109589 -0.0037 -0.0158 0.0134 0.0933 0.0033;9969.0 312.0 109524 0.0365 -0.0105 0.0312 0.0648 0.0131;3862.0 158.0 109581 0.0028 0.0695 0.0055 0.0680 -0.0010;10174.0 550.0 109572 -0.0104 0.0094 -0.0047 0.1315 0.0051,109536.0 20000;109476.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109580.0 20000;109578.0 20000;109581.0 20000;109517.0 20000;109582.0 20000;109583.0 20000;109584.0 20000;109585.0 20000;109586.0 20000;109587.0 20000;109588.0 20000;109589.0 20000;109577.0 20000;109524.0 20000;109572.0 20000,109536 1021;109476 943;109574 1000;109575 1012;109576 1037;109577 983;109578 995;109580 1016;109517 1026;109582 988;109583 993;109584 997;109585 1014;109586 1019;109587 988;109588 984;109589 967;109524 986;109581 1029;109572 1002
