
New Run at  11/14/2014 22:17:36
, Time, UCBLearnAccesses; UCBClicks; randomLearnAccesses; randomClicks; greedyLearnAccesses; greedyClicks, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241506500,426384.0;20911.0;445910.0;15933.0;448817.0;21615.0,3733.0 135.0 109601 0.0095 0.0174 0.0601 0.0241 0.0030;6540.0 526.0 109603 -0.1894 0.0279 0.0935 0.1597 0.0080;12153.0 330.0 109476 -0.0015 -0.0071 0.0276 0.0747 0.0002;15795.0 1729.0 109605 0.0253 0.0490 -0.0024 0.1245 0.0281;3072.0 115.0 109608 0.0213 -0.0030 0.0213 0.0226 0.0034;1906.0 41.0 109610 -0.0125 0.0821 0.0023 0.0777 0.0030;1360.0 33.0 109611 0.0019 0.0408 0.0261 0.0597 -0.0003;12949.0 1286.0 109612 0.0128 0.0743 0.0767 0.1164 -0.0231;11101.0 305.0 109517 -0.0135 0.0218 0.0424 -0.0075 -0.0002;4063.0 243.0 109614 0.0342 0.1049 0.0162 0.0969 0.0021;1457.0 12.0 109613 -0.0025 0.0209 0.0001 0.0011 -0.0000;5045.0 342.0 109617 0.0029 0.0458 0.0339 0.1484 0.0278;1082.0 17.0 109618 -0.0182 0.0206 0.0346 0.0358 0.0037;605.0 4.0 109619 -0.0060 0.0003 0.0196 0.0030 0.0068;6205.0 289.0 109594 0.0208 0.0281 0.0011 0.1223 0.0219;3982.0 251.0 109615 0.0306 0.0810 0.0198 0.1288 0.0078;13470.0 1039.0 109596 0.0099 0.0214 0.0232 0.0613 0.0032;6322.0 369.0 109598 -0.0286 0.0859 -0.0008 0.0685 -0.0009;6439.0 346.0 109599 0.0305 0.0492 0.0238 0.0167 -0.0008,109601.0 1076;109603.0 1076;109476.0 1076;109605.0 1076;109608.0 1076;109610.0 1076;109611.0 1076;109612.0 1076;109613.0 1076;109614.0 1076;109517.0 1076;109617.0 1076;109618.0 1076;109619.0 1076;109594.0 1076;109615.0 1076;109596.0 1076;109598.0 1076;109599.0 1076,109601 58;109603 53;109476 54;109605 49;109608 52;109610 59;109611 64;109612 72;109517 54;109614 71;109613 57;109617 67;109618 52;109619 50;109594 57;109615 45;109596 65;109598 51;109599 46
data,1241507400,427476.0;20947.0;446995.0;15956.0;449941.0;21663.0,3765.0 136.0 109601 0.0137 0.0165 0.0603 0.0222 0.0026;6643.0 534.0 109603 -0.1858 0.0265 0.0955 0.1568 0.0070;12179.0 330.0 109476 -0.0013 -0.0069 0.0272 0.0736 0.0002;15876.0 1732.0 109605 0.0227 0.0474 -0.0022 0.1266 0.0263;3100.0 115.0 109608 0.0208 -0.0029 0.0210 0.0223 0.0032;1954.0 42.0 109610 -0.0116 0.0764 0.0024 0.0760 0.0028;1385.0 33.0 109611 0.0016 0.0408 0.0260 0.0589 -0.0003;13077.0 1293.0 109612 0.0105 0.0746 0.0749 0.1199 -0.0139;11125.0 305.0 109517 -0.0136 0.0218 0.0424 -0.0074 -0.0002;4176.0 248.0 109614 0.0314 0.1023 0.0279 0.0988 0.0012;4100.0 254.0 109615 0.0255 0.0816 0.0216 0.1269 0.0066;1481.0 12.0 109613 -0.0024 0.0205 0.0001 0.0010 -0.0000;5200.0 349.0 109617 0.0067 0.0438 0.0359 0.1470 0.0271;1108.0 17.0 109618 -0.0179 0.0207 0.0343 0.0349 0.0034;631.0 4.0 109619 -0.0058 0.0003 0.0194 0.0029 0.0063;6254.0 289.0 109594 0.0206 0.0273 0.0016 0.1210 0.0204;13496.0 1039.0 109596 0.0100 0.0211 0.0231 0.0602 0.0030;6346.0 369.0 109598 -0.0280 0.0852 -0.0007 0.0670 -0.0008;6475.0 347.0 109599 0.0299 0.0492 0.0236 0.0165 0.0031,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1054;109603 1040;109476 994;109605 1082;109608 1030;109610 1080;109611 1038;109612 1165;109517 1112;109614 1101;109615 984;109613 992;109617 1067;109618 1020;109619 1069;109594 1064;109596 1039;109598 1091;109599 978
data,1241508000,428530.0;20984.0;448053.0;15983.0;450993.0;21692.0,3852.0 138.0 109601 0.0122 0.0166 0.0595 0.0229 0.0076;6733.0 540.0 109603 -0.1843 0.0251 0.0952 0.1556 0.0076;12212.0 331.0 109476 -0.0015 0.0135 0.0272 0.0713 0.0001;15922.0 1732.0 109605 0.0214 0.0474 -0.0016 0.1256 0.0252;3119.0 115.0 109608 0.0204 -0.0028 0.0211 0.0219 0.0030;1976.0 42.0 109610 -0.0110 0.0743 0.0024 0.0754 0.0026;1406.0 33.0 109611 0.0019 0.0397 0.0255 0.0582 -0.0003;13144.0 1299.0 109612 0.0123 0.0721 0.0771 0.1191 -0.0145;1499.0 12.0 109613 -0.0024 0.0205 0.0001 0.0010 -0.0000;4352.0 258.0 109614 0.0339 0.1014 0.0289 0.0987 0.0048;4156.0 255.0 109615 0.0255 0.0791 0.0223 0.1258 0.0060;5333.0 354.0 109617 0.0017 0.0436 0.0383 0.1462 0.0264;1127.0 17.0 109618 -0.0177 0.0202 0.0343 0.0349 0.0032;650.0 4.0 109619 -0.0056 0.0003 0.0194 0.0028 0.0059;6289.0 289.0 109594 0.0198 0.0268 0.0022 0.1199 0.0196;13517.0 1039.0 109596 0.0099 0.0208 0.0230 0.0595 0.0028;11207.0 307.0 109517 -0.0136 0.0213 0.0423 -0.0075 0.0059;6386.0 372.0 109598 -0.0340 0.0863 -0.0017 0.0833 -0.0010;6545.0 348.0 109599 0.0295 0.0487 0.0236 0.0163 0.0055,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1043;109603 991;109476 1066;109605 1037;109608 1013;109610 1032;109611 1000;109612 1048;109613 1104;109614 1085;109615 1044;109617 1053;109618 1048;109619 1078;109594 1096;109596 1134;109517 1039;109598 1049;109599 1040
data,1241508900,429614.0;21020.0;449099.0;16010.0;452063.0;21723.0,3889.0 138.0 109601 0.0114 0.0161 0.0595 0.0227 0.0070;6824.0 546.0 109603 -0.1872 0.0220 0.0938 0.1589 0.0065;12241.0 331.0 109476 -0.0021 0.0129 0.0272 0.0714 0.0001;16104.0 1740.0 109605 0.0267 0.0441 -0.0054 0.1268 0.0241;3150.0 115.0 109608 0.0198 -0.0027 0.0210 0.0221 0.0028;11238.0 307.0 109517 -0.0133 0.0206 0.0418 -0.0073 0.0055;1435.0 33.0 109611 0.0015 0.0386 0.0256 0.0584 -0.0003;13236.0 1305.0 109612 0.0130 0.0708 0.0795 0.1159 -0.0150;1526.0 12.0 109613 -0.0022 0.0196 0.0001 0.0011 -0.0000;4441.0 261.0 109614 0.0328 0.0988 0.0282 0.1016 0.0038;4194.0 255.0 109615 0.0254 0.0771 0.0217 0.1262 0.0053;5413.0 356.0 109617 0.0008 0.0414 0.0381 0.1476 0.0247;1156.0 17.0 109618 -0.0175 0.0198 0.0340 0.0350 0.0030;680.0 4.0 109619 -0.0055 0.0003 0.0192 0.0029 0.0055;6362.0 290.0 109594 0.0191 0.0256 0.0021 0.1201 0.0191;13547.0 1039.0 109596 0.0095 0.0201 0.0228 0.0597 0.0026;2003.0 42.0 109610 -0.0106 0.0727 0.0023 0.0757 0.0024;6487.0 382.0 109598 -0.0450 0.0879 -0.0045 0.1153 -0.0006;6583.0 348.0 109599 0.0288 0.0469 0.0232 0.0172 0.0050,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1009;109603 1108;109476 1057;109605 1074;109608 1012;109517 1020;109611 1051;109612 1036;109613 1068;109614 1029;109615 1037;109617 1058;109618 1048;109619 1031;109594 1107;109596 1035;109610 1070;109598 1036;109599 1114
data,1241509500,430702.0;21053.0;450152.0;16036.0;453137.0;21764.0,3921.0 138.0 109601 0.0111 0.0156 0.0593 0.0225 0.0065;6965.0 556.0 109603 -0.1856 0.0201 0.0937 0.1595 0.0090;12302.0 332.0 109476 -0.0022 0.0126 0.0267 0.0715 0.0029;16289.0 1751.0 109605 0.0408 0.0404 -0.0074 0.1239 0.0232;3180.0 115.0 109608 0.0192 -0.0025 0.0207 0.0224 0.0026;2031.0 42.0 109610 -0.0102 0.0706 0.0022 0.0759 0.0022;1462.0 33.0 109611 0.0018 0.0375 0.0254 0.0576 -0.0003;13325.0 1309.0 109612 0.0178 0.0685 0.0759 0.1169 -0.0150;11266.0 307.0 109517 -0.0132 0.0202 0.0415 -0.0072 0.0051;4513.0 262.0 109614 0.0321 0.0976 0.0280 0.0999 0.0049;1552.0 12.0 109613 -0.0022 0.0189 0.0001 0.0012 -0.0000;5488.0 359.0 109617 -0.0006 0.0460 0.0374 0.1474 0.0239;1187.0 17.0 109618 -0.0171 0.0190 0.0335 0.0351 0.0028;709.0 4.0 109619 -0.0053 0.0003 0.0192 0.0028 0.0051;6447.0 292.0 109594 0.0187 0.0248 0.0087 0.1195 0.0188;4224.0 255.0 109615 0.0254 0.0761 0.0217 0.1259 0.0049;13574.0 1039.0 109596 0.0092 0.0197 0.0226 0.0598 0.0024;6546.0 383.0 109598 -0.0391 0.0837 -0.0044 0.1044 -0.0006;6616.0 348.0 109599 0.0278 0.0461 0.0233 0.0174 0.0047,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1047;109603 1059;109476 1086;109605 1096;109608 1093;109610 1063;109611 1066;109612 1089;109517 1053;109614 1020;109613 1052;109617 1083;109618 1032;109619 1057;109594 1013;109615 1009;109596 1032;109598 1031;109599 1019
data,1241510400,431806.0;21078.0;451149.0;16062.0;454230.0;21786.0,3959.0 138.0 109601 0.0106 0.0155 0.0585 0.0226 0.0060;7061.0 562.0 109603 -0.1880 0.0171 0.0933 0.1602 0.0075;12333.0 332.0 109476 -0.0022 0.0124 0.0266 0.0706 0.0027;16432.0 1754.0 109605 0.0375 0.0398 -0.0068 0.1236 0.0223;3208.0 115.0 109608 0.0188 -0.0024 0.0208 0.0221 0.0024;2056.0 42.0 109610 -0.0100 0.0696 0.0022 0.0760 0.0020;1489.0 33.0 109611 0.0016 0.0370 0.0252 0.0577 -0.0003;13410.0 1313.0 109612 0.0153 0.0687 0.0786 0.1143 -0.0155;1585.0 13.0 109613 -0.0040 0.0352 0.0002 -0.0001 -0.0000;4572.0 262.0 109614 0.0307 0.0968 0.0284 0.0977 0.0042;11300.0 307.0 109517 -0.0129 0.0198 0.0409 -0.0069 0.0048;5636.0 365.0 109617 0.0042 0.0426 0.0366 0.1467 0.0230;1215.0 17.0 109618 -0.0168 0.0186 0.0332 0.0344 0.0026;804.0 6.0 109619 -0.0052 0.0002 0.0187 0.0026 0.0084;6509.0 293.0 109594 0.0183 0.0248 0.0134 0.1185 0.0179;4295.0 256.0 109615 0.0248 0.0752 0.0218 0.1251 0.0062;13605.0 1039.0 109596 0.0089 0.0195 0.0225 0.0590 0.0022;6583.0 384.0 109598 -0.0390 0.0833 -0.0043 0.1029 -0.0006;6649.0 348.0 109599 0.0273 0.0452 0.0232 0.0174 0.0044,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1055;109603 1092;109476 1034;109605 1141;109608 1037;109610 1059;109611 1067;109612 984;109613 1058;109614 1060;109517 1088;109617 1026;109618 1045;109619 1060;109594 1074;109615 1012;109596 1011;109598 1037;109599 1060
data,1241511000,432888.0;21115.0;452206.0;16092.0;455285.0;21823.0,3993.0 138.0 109601 0.0100 0.0152 0.0585 0.0228 0.0056;7196.0 575.0 109603 -0.1929 0.0145 0.0922 0.1660 0.0082;12363.0 332.0 109476 -0.0024 0.0121 0.0266 0.0706 0.0025;16517.0 1754.0 109605 0.0350 0.0406 -0.0058 0.1224 0.0210;3236.0 115.0 109608 0.0189 -0.0024 0.0208 0.0216 0.0022;2091.0 42.0 109610 -0.0102 0.0690 0.0022 0.0755 0.0019;1520.0 33.0 109611 0.0015 0.0365 0.0253 0.0570 -0.0002;13551.0 1329.0 109612 0.0222 0.0657 0.0810 0.1157 -0.0171;1620.0 13.0 109613 -0.0037 0.0315 0.0002 0.0002 -0.0000;4655.0 267.0 109614 0.0304 0.1000 0.0288 0.0959 0.0038;4347.0 257.0 109615 0.0225 0.0743 0.0218 0.1272 0.0056;5748.0 366.0 109617 0.0032 0.0429 0.0370 0.1449 0.0215;1244.0 17.0 109618 -0.0167 0.0186 0.0332 0.0343 0.0024;874.0 7.0 109619 -0.0053 0.0002 0.0187 0.0025 0.0093;6566.0 293.0 109594 0.0180 0.0249 0.0135 0.1174 0.0169;13634.0 1039.0 109596 0.0090 0.0188 0.0225 0.0590 0.0021;11331.0 307.0 109517 -0.0129 0.0194 0.0409 -0.0069 0.0045;6616.0 384.0 109598 -0.0390 0.0823 -0.0042 0.1019 -0.0006;6681.0 348.0 109599 0.0272 0.0447 0.0233 0.0171 0.0040,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1050;109603 1041;109476 1054;109605 1041;109608 1070;109610 1046;109611 1008;109612 1069;109613 1060;109614 1123;109615 1003;109617 1062;109618 1077;109619 982;109594 1094;109596 1057;109517 1064;109598 1057;109599 1042
data,1241511900,433889.0;21153.0;453272.0;16123.0;456382.0;21852.0,4019.0 138.0 109601 0.0100 0.0150 0.0579 0.0232 0.0053;7329.0 587.0 109603 -0.1991 0.0160 0.0920 0.1692 0.0100;12386.0 332.0 109476 -0.0024 0.0118 0.0262 0.0707 0.0024;16589.0 1755.0 109605 0.0346 0.0407 -0.0061 0.1223 0.0205;3297.0 116.0 109608 0.0187 -0.0024 0.0205 0.0217 0.0042;2114.0 42.0 109610 -0.0100 0.0679 0.0021 0.0757 0.0018;1544.0 33.0 109611 0.0015 0.0360 0.0248 0.0571 -0.0002;13698.0 1338.0 109612 0.0260 0.0632 0.0787 0.1178 -0.0176;1641.0 13.0 109613 -0.0036 0.0310 0.0002 0.0003 -0.0000;4693.0 267.0 109614 0.0295 0.0977 0.0289 0.0971 0.0034;4440.0 267.0 109615 0.0138 0.0718 0.0193 0.1419 0.0048;5865.0 369.0 109617 0.0032 0.0427 0.0366 0.1447 0.0217;1267.0 17.0 109618 -0.0165 0.0183 0.0327 0.0344 0.0023;899.0 7.0 109619 -0.0052 0.0002 0.0185 0.0026 0.0089;6644.0 295.0 109594 0.0165 0.0330 0.0136 0.1170 0.0168;13658.0 1039.0 109596 0.0088 0.0188 0.0221 0.0592 0.0020;11356.0 307.0 109517 -0.0126 0.0190 0.0404 -0.0068 0.0043;6638.0 384.0 109598 -0.0386 0.0811 -0.0042 0.1018 -0.0006;6707.0 348.0 109599 0.0270 0.0437 0.0231 0.0175 0.0038,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1061;109603 1082;109476 1060;109605 1119;109608 1001;109610 1071;109611 1030;109612 1057;109613 1053;109614 983;109615 1025;109617 1046;109618 1066;109619 1033;109594 1091;109596 1072;109517 1041;109598 1045;109599 1064
data,1241512800,434932.0;21189.0;454330.0;16144.0;457386.0;21883.0,4046.0 138.0 109601 0.0100 0.0147 0.0572 0.0236 0.0051;7531.0 597.0 109603 -0.1966 0.0131 0.0915 0.1684 0.0121;12406.0 332.0 109476 -0.0023 0.0118 0.0257 0.0708 0.0023;16646.0 1756.0 109605 0.0359 0.0399 -0.0066 0.1224 0.0196;3319.0 116.0 109608 0.0184 -0.0023 0.0203 0.0219 0.0040;2133.0 42.0 109610 -0.0099 0.0674 0.0021 0.0757 0.0017;1563.0 33.0 109611 0.0016 0.0355 0.0243 0.0573 -0.0002;13793.0 1341.0 109612 0.0223 0.0635 0.0790 0.1172 -0.0140;1663.0 13.0 109613 -0.0036 0.0305 0.0002 0.0003 -0.0000;4761.0 274.0 109614 0.0272 0.1031 0.0292 0.0991 0.0022;4562.0 277.0 109615 0.0272 0.0682 0.0156 0.1367 0.0043;5915.0 369.0 109617 0.0032 0.0424 0.0364 0.1448 0.0208;1289.0 17.0 109618 -0.0162 0.0179 0.0322 0.0346 0.0022;924.0 7.0 109619 -0.0051 0.0002 0.0181 0.0027 0.0086;6833.0 300.0 109594 0.0160 0.0316 0.0130 0.1172 0.0186;13679.0 1039.0 109596 0.0087 0.0185 0.0219 0.0593 0.0019;11379.0 307.0 109517 -0.0124 0.0186 0.0399 -0.0067 0.0041;6657.0 384.0 109598 -0.0388 0.0811 -0.0042 0.1019 -0.0006;6728.0 348.0 109599 0.0268 0.0437 0.0229 0.0176 0.0037,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1016;109603 1083;109476 1074;109605 1021;109608 1025;109610 1038;109611 1049;109612 1022;109613 1048;109614 1026;109615 1109;109617 1005;109618 1087;109619 1028;109594 1065;109596 1047;109517 1109;109598 1057;109599 1091
data,1241513400,435973.0;21216.0;455401.0;16164.0;458367.0;21902.0,4072.0 138.0 109601 0.0099 0.0147 0.0567 0.0234 0.0049;7676.0 606.0 109603 -0.1926 0.0136 0.0925 0.1651 0.0121;12431.0 332.0 109476 -0.0026 0.0116 0.0255 0.0709 0.0022;16693.0 1757.0 109605 0.0369 0.0398 -0.0071 0.1219 0.0190;3343.0 116.0 109608 0.0183 -0.0023 0.0199 0.0220 0.0038;2157.0 42.0 109610 -0.0100 0.0674 0.0021 0.0749 0.0016;1584.0 33.0 109611 0.0015 0.0355 0.0242 0.0573 -0.0002;13958.0 1344.0 109612 0.0189 0.0641 0.0778 0.1171 -0.0061;1682.0 13.0 109613 -0.0036 0.0305 0.0002 0.0003 -0.0000;4853.0 279.0 109614 0.0271 0.1006 0.0278 0.1020 0.0032;11399.0 307.0 109517 -0.0123 0.0186 0.0396 -0.0066 0.0040;6044.0 374.0 109617 0.0022 0.0408 0.0378 0.1455 0.0211;1310.0 17.0 109618 -0.0161 0.0179 0.0319 0.0346 0.0021;982.0 8.0 109619 -0.0051 0.0001 0.0181 0.0026 0.0094;6910.0 302.0 109594 0.0149 0.0364 0.0131 0.1169 0.0186;4640.0 278.0 109615 0.0253 0.0707 0.0169 0.1316 0.0040;13702.0 1039.0 109596 0.0085 0.0185 0.0216 0.0594 0.0018;6678.0 384.0 109598 -0.0386 0.0804 -0.0042 0.1018 -0.0005;6754.0 348.0 109599 0.0267 0.0433 0.0222 0.0179 0.0035,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1075;109603 1043;109476 1015;109605 952;109608 1081;109610 1047;109611 1083;109612 1109;109613 1026;109614 1039;109517 1066;109617 1024;109618 1076;109619 1050;109594 1066;109615 1078;109596 1054;109598 1049;109599 1067
data,1241514300,437004.0;21244.0;456431.0;16187.0;459415.0;21932.0,4095.0 138.0 109601 0.0101 0.0144 0.0563 0.0235 0.0047;7823.0 614.0 109603 -0.1886 0.0123 0.0925 0.1625 0.0122;12494.0 333.0 109476 -0.0025 0.0114 0.0254 0.0701 0.0039;1701.0 13.0 109613 -0.0036 0.0301 0.0002 0.0004 -0.0000;3366.0 116.0 109608 0.0180 -0.0022 0.0198 0.0221 0.0037;2180.0 42.0 109610 -0.0100 0.0664 0.0021 0.0751 0.0016;1608.0 33.0 109611 0.0014 0.0350 0.0241 0.0566 -0.0002;14058.0 1351.0 109612 0.0178 0.0628 0.0783 0.1201 -0.0070;11460.0 308.0 109517 -0.0123 0.0183 0.0396 -0.0066 0.0054;4913.0 280.0 109614 0.0281 0.0992 0.0281 0.0983 0.0028;4766.0 284.0 109615 0.0308 0.0697 0.0157 0.1296 0.0060;6164.0 377.0 109617 0.0038 0.0398 0.0372 0.1447 0.0207;1335.0 17.0 109618 -0.0157 0.0176 0.0319 0.0338 0.0020;1009.0 8.0 109619 -0.0050 0.0001 0.0178 0.0027 0.0090;6980.0 303.0 109594 0.0154 0.0356 0.0131 0.1163 0.0183;13725.0 1039.0 109596 0.0084 0.0183 0.0214 0.0586 0.0017;16745.0 1757.0 109605 0.0354 0.0393 -0.0067 0.1220 0.0184;6701.0 384.0 109598 -0.0379 0.0790 -0.0041 0.1011 -0.0005;6776.0 348.0 109599 0.0265 0.0433 0.0220 0.0181 0.0034,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1022;109603 1058;109476 1023;109613 1065;109608 1076;109610 1059;109611 1075;109612 1089;109517 996;109614 1046;109615 1069;109617 1120;109618 1011;109619 1019;109594 1055;109596 1064;109605 1000;109598 1057;109599 1096
